rank,word,similarity,percentile_score
1,petrochemical,1.000000,100.000
2,petroleum,0.583684,99.990
3,chemistry,0.555122,99.980
4,corrosion,0.492507,99.970
5,chemist,0.488410,99.960
6,hydrocarbon,0.486348,99.950
7,sulphate,0.484409,99.940
8,oxidation,0.480050,99.930
9,geochemistry,0.478998,99.920
10,hydroxide,0.465604,99.910
11,radiocarbon,0.463614,99.900
12,wastewater,0.461832,99.890
13,biochemist,0.460526,99.880
14,reactor,0.447475,99.870
15,oxide,0.446059,99.860
16,metallurgy,0.444423,99.850
17,petrol,0.443326,99.840
18,refinery,0.440228,99.830
19,cation,0.437206,99.820
20,metabolite,0.427848,99.810
21,biochemistry,0.427402,99.800
22,cathode,0.425326,99.790
23,gasoline,0.422016,99.780
24,petiole,0.421850,99.770
25,pollution,0.421609,99.760
26,phosphate,0.419683,99.750
27,chloride,0.413923,99.740
28,carbon,0.411162,99.730
29,ammonia,0.410796,99.720
30,fertilizer,0.409999,99.710
31,pollutant,0.409901,99.700
32,catalyst,0.404363,99.690
33,acidification,0.400449,99.680
34,uranium,0.397412,99.670
35,bicarbonate,0.396442,99.660
36,production,0.394440,99.650
37,plutonium,0.389983,99.640
38,pesticide,0.389398,99.630
39,contaminant,0.388932,99.620
40,alchemist,0.386776,99.610
41,substance,0.386550,99.600
42,radioactivity,0.383569,99.590
43,mineralogy,0.381247,99.580
44,sewage,0.379884,99.570
45,acidity,0.379309,99.560
46,laboratory,0.379302,99.550
47,cadmium,0.376965,99.540
48,commodity,0.376446,99.530
49,acetate,0.373668,99.520
50,petal,0.373275,99.510
51,alkali,0.370178,99.500
52,lab,0.367909,99.490
53,carbonation,0.367314,99.480
54,oxalate,0.366412,99.470
55,aluminum,0.365032,99.460
56,ethanol,0.364912,99.450
57,combustion,0.364755,99.440
58,chlorine,0.364308,99.430
59,detoxification,0.359824,99.420
60,oilfield,0.356668,99.410
61,lignite,0.356614,99.400
62,landfill,0.356022,99.390
63,boiler,0.355805,99.380
64,metalwork,0.355254,99.370
65,aluminium,0.354707,99.360
66,monoxide,0.354174,99.350
67,chromatography,0.354162,99.340
68,disposal,0.353094,99.330
69,distillation,0.352531,99.320
70,palladium,0.352052,99.310
71,adsorption,0.351818,99.300
72,manganese,0.350954,99.290
73,cytochrome,0.350220,99.280
74,smelter,0.349721,99.270
75,alumina,0.348380,99.260
76,hydrochloride,0.347704,99.250
77,bentonite,0.346246,99.240
78,miner,0.344625,99.230
79,industry,0.344231,99.220
80,petunia,0.343567,99.210
81,shale,0.342748,99.200
82,purification,0.342466,99.190
83,sludge,0.341947,99.180
84,potpourri,0.341631,99.170
85,octane,0.341290,99.160
86,reclamation,0.341005,99.150
87,kettle,0.340732,99.140
88,herbicide,0.339056,99.130
89,bauxite,0.338942,99.120
90,reaction,0.338232,99.110
91,hydrogen,0.337748,99.100
92,pail,0.336336,99.090
93,contamination,0.335462,99.080
94,patio,0.334787,99.070
95,deuterium,0.333361,99.060
96,oxygen,0.333062,99.050
97,electrode,0.331867,99.040
98,petter,0.331708,99.030
99,toxicology,0.330106,99.020
100,polonium,0.329846,99.010
101,pyrite,0.329514,99.000
102,electrolyte,0.329222,98.990
103,butane,0.328262,98.980
104,ore,0.327239,98.970
105,benzene,0.327060,98.960
106,magnesium,0.326706,98.950
107,foundry,0.326491,98.940
108,methylene,0.326384,98.930
109,fermentation,0.325942,98.920
110,oxidant,0.325892,98.910
111,ethylene,0.325826,98.900
112,isotope,0.324701,98.890
113,toxicity,0.323631,98.880
114,tritium,0.323012,98.870
115,gasification,0.322909,98.860
116,toxin,0.322370,98.850
117,enrichment,0.321425,98.840
118,alkaloid,0.320635,98.830
119,gallium,0.320339,98.820
120,lignin,0.319999,98.810
121,fluorine,0.319942,98.800
122,degradation,0.319367,98.790
123,hydrogenation,0.319281,98.780
124,ingredient,0.318783,98.770
125,nitrogen,0.318585,98.760
126,polymer,0.318500,98.750
127,biota,0.318311,98.740
128,toad,0.318173,98.730
129,aldehyde,0.317762,98.720
130,fission,0.317452,98.710
131,halogen,0.317087,98.700
132,enthalpy,0.316613,98.690
133,rhodium,0.316128,98.680
134,substrate,0.315856,98.670
135,resin,0.315604,98.660
136,propylene,0.315038,98.650
137,methane,0.314995,98.640
138,porcelain,0.314695,98.630
139,strontium,0.314516,98.620
140,florin,0.313042,98.610
141,gastronomy,0.312908,98.600
142,sustainability,0.312889,98.590
143,environment,0.311398,98.580
144,doghouse,0.311187,98.570
145,pizzeria,0.310287,98.560
146,magma,0.310176,98.550
147,calcium,0.309613,98.540
148,petticoat,0.308994,98.530
149,sourdough,0.308446,98.520
150,cyanide,0.308400,98.510
151,propane,0.306893,98.500
152,oiler,0.306124,98.490
153,sodium,0.305754,98.480
154,materialism,0.305519,98.470
155,cellulose,0.304965,98.460
156,anthracite,0.304802,98.450
157,residue,0.303733,98.440
158,polymerase,0.303601,98.430
159,terrarium,0.303207,98.420
160,sanitation,0.303063,98.410
161,spectrometry,0.302819,98.400
162,remediation,0.302364,98.390
163,iodine,0.302174,98.380
164,tanker,0.302079,98.370
165,limestone,0.300783,98.360
166,aromatherapy,0.300289,98.350
167,titanium,0.300137,98.340
168,cocaine,0.299873,98.330
169,maintenance,0.299452,98.320
170,pharmacy,0.299418,98.310
171,utilization,0.299057,98.300
172,molecule,0.299000,98.290
173,aroma,0.298701,98.280
174,biotechnology,0.298272,98.270
175,methanol,0.297258,98.260
176,sulfide,0.297164,98.250
177,porosity,0.296346,98.240
178,geology,0.295945,98.230
179,marijuana,0.295924,98.220
180,incinerator,0.295569,98.210
181,biotech,0.295083,98.200
182,ratatouille,0.294565,98.190
183,benediction,0.294403,98.180
184,fungicide,0.294188,98.170
185,acetone,0.294143,98.160
186,privatisation,0.294095,98.150
187,heroin,0.294088,98.140
188,enzyme,0.293927,98.130
189,lithium,0.293262,98.120
190,toluene,0.292949,98.110
191,alchemy,0.291979,98.100
192,oreo,0.291728,98.090
193,opium,0.291176,98.080
194,valve,0.291170,98.070
195,ozone,0.291083,98.060
196,science,0.290860,98.050
197,formaldehyde,0.290623,98.040
198,horticulture,0.290254,98.030
199,mole,0.290193,98.020
200,vinegar,0.289674,98.010
